round,score,survival time,total rewards
561,2,42,60
562,0,29,0
563,1,72,60
564,2,190,120
565,1,10,0
566,0,50,0
567,1,8,60
568,8,37,420
569,3,400,180
570,8,238,480
571,1,45,60
572,4,400,240
573,7,30,420
574,0,21,0
575,7,61,420
576,5,44,300
577,0,17,0
578,7,400,420
579,0,10,0
580,2,166,120
581,13,400,720
582,13,208,780
583,13,219,780
584,2,11,120
585,9,121,540
586,6,36,360
587,3,25,180
588,2,42,120
589,3,62,180
590,2,8,60
591,1,18,60
592,8,223,480
593,0,16,0
594,0,12,0
595,2,55,120
596,3,62,180
597,3,143,180
598,2,44,60
599,0,189,0
600,2,14,60
601,3,43,120
602,2,233,120
603,7,149,420
604,0,110,0
605,6,110,360
606,2,44,120
607,6,165,300
608,0,24,0
609,10,155,600
610,8,191,480
611,0,12,0
612,1,13,0
613,3,82,120
614,2,27,120
615,6,282,360
616,0,8,0
617,1,30,60
618,0,13,0
619,4,26,240
620,1,37,60
621,4,20,240
622,1,19,60
623,4,281,240
624,1,22,60
625,3,49,180
626,11,400,600
627,1,48,60
628,11,377,600
629,3,51,180
630,2,125,120
631,9,50,540
632,9,144,540
633,4,23,240
634,0,20,0
635,2,19,120
636,11,68,660
637,1,400,60
638,10,137,600
639,0,30,0
640,12,112,720
641,0,4,0
642,3,13,180
643,7,53,420
644,10,134,600
645,11,123,660
646,11,385,660
647,2,15,120
648,2,10,60
649,8,56,480
650,1,17,60
651,0,5,0
652,6,42,360
653,5,400,240
654,9,38,480
655,8,48,480
656,2,45,120
657,3,55,180
658,9,93,540
659,2,148,120
660,7,37,420
661,6,64,300
662,1,7,0
663,3,20,180
664,14,118,840
665,1,17,60
666,5,97,300
667,13,135,780
668,5,50,240
669,2,248,120
670,6,38,300
671,5,58,240
672,14,118,840
673,7,31,420
674,13,48,780
675,0,10,0
676,3,48,180
677,6,70,360
678,7,125,420
679,10,51,600
680,0,19,0
681,0,4,0
682,14,135,840
683,9,48,540
684,0,6,0
685,6,208,360
686,0,8,0
687,6,148,360
688,14,347,840
689,7,27,420
690,2,400,120
691,1,65,60
692,0,9,0
693,0,14,0
694,2,13,60
695,11,140,660
696,4,178,240
697,4,15,180
698,9,59,540
699,0,4,0
700,8,57,480
701,12,400,720
702,7,400,420
703,4,16,240
704,0,13,0
705,0,4,0
706,3,149,120
707,10,104,600
708,10,95,600
709,1,55,60
710,6,18,300
711,1,178,60
712,20,134,1200
713,11,70,660
714,2,8,120
715,13,87,780
716,10,249,540
717,3,86,180
718,0,69,0
719,3,22,180
720,3,139,180
721,4,181,240
722,7,56,420
723,1,9,60
724,3,390,180
725,6,84,360
726,11,82,600
727,1,122,60
728,10,353,600
729,13,363,780
730,5,41,240
731,2,8,120
732,4,78,240
733,14,107,840
734,2,31,120
735,1,31,60
736,4,65,240
737,1,4,0
738,2,27,120
739,4,20,240
740,1,27,60
741,5,157,300
742,0,7,0
743,3,36,180
744,6,80,360
745,2,38,120
746,6,25,300
747,17,176,1020
748,7,150,360
749,6,166,300
750,1,61,60
751,8,72,420
752,15,400,840
753,1,12,60
754,3,40,180
755,0,12,0
756,7,28,420
757,9,152,540
758,1,28,0
759,0,12,0
760,2,151,120
761,0,45,0
762,0,20,0
763,5,149,300
764,1,47,60
765,12,400,660
766,8,77,480
767,15,270,900
768,10,204,600
769,12,113,720
770,1,6,60
771,11,97,660
772,9,53,540
773,3,142,180
774,0,5,0
775,0,51,0
776,0,39,0
777,13,185,780
778,6,31,360
779,2,400,120
780,18,81,1080
781,9,400,540
782,9,86,540
783,2,400,60
784,6,230,360
785,2,186,120
786,1,13,0
787,4,23,240
788,0,52,0
789,1,189,0
790,3,24,120
791,0,17,0
792,4,16,180
793,17,400,960
794,12,118,660
795,0,51,0
796,2,168,120
797,14,90,840
798,13,170,780
799,2,12,60
800,16,328,960
801,4,18,240
802,8,400,480
803,5,266,300
804,8,48,480
805,12,400,720
806,0,11,0
807,2,13,60
808,4,18,240
809,7,186,420
810,0,8,0
811,1,27,60
812,10,180,540
813,2,17,120
814,0,62,0
815,15,185,900
816,1,13,60
817,1,8,60
818,8,36,420
819,4,107,180
820,5,400,300
821,11,131,600
822,1,33,60
823,8,400,480
824,5,64,300
825,0,43,0
826,0,136,0
827,14,387,840
828,4,18,240
829,2,16,120
830,12,108,720
831,2,119,60
832,1,56,60
833,8,98,420
834,0,20,0
835,1,22,60
836,2,59,60
837,7,36,420
838,9,167,540
839,10,355,600
840,5,334,300
841,3,78,180
842,3,11,180
843,19,183,1140
844,3,192,180
845,1,146,60
846,11,121,660
847,12,260,720
848,9,236,540
849,1,5,0
850,0,5,0
851,12,46,720
852,14,95,780
853,6,69,360
854,7,221,360
855,16,130,960
856,0,6,0
857,11,46,660
858,1,11,60
859,12,159,720
860,0,98,0
861,4,92,240
862,3,23,180
863,1,19,60
864,10,308,600
865,0,7,0
866,14,309,840
867,4,26,240
868,14,152,840
869,13,75,780
870,11,400,660
871,3,47,180
872,1,20,0
873,1,25,0
874,9,107,480
875,5,18,240
876,7,118,420
877,8,75,420
878,1,54,60
879,14,202,840
880,0,4,0
881,0,5,0
882,0,35,0
883,14,110,840
884,0,9,0
885,10,60,540
886,0,12,0
887,2,90,120
888,12,154,660
889,1,7,0
890,4,312,240
891,10,146,600
892,11,400,660
893,1,248,60
894,9,161,540
895,14,133,780
896,13,101,720
897,9,36,540
898,9,38,540
899,6,31,300
900,18,173,1080
901,1,75,60
902,0,64,0
903,11,73,660
904,4,238,240
905,0,22,0
906,0,4,0
907,10,137,600
908,2,20,120
909,19,349,1140
910,3,13,180
911,15,107,900
912,1,41,60
913,16,197,960
914,15,113,900
915,0,20,0
916,19,380,1080
917,20,250,1200
918,8,28,420
919,1,97,60
920,10,41,600
921,14,145,780
922,8,53,420
923,20,69,1200
924,20,85,1200
925,4,33,240
926,16,81,960
